writedaytime,devdata1,devdata2,devdata3,devdata4
2014-01-01 00:00:00,-0.7635171333879902,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:05:00,-0.776121876244598,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:10:00,-0.7831245111649359,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:15:00,-0.7915276730693411,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:20:00,-0.8013313619578138,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:25:00,-0.8120687355023318,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:30:00,-0.8195382127506919,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:35:00,-0.8307424286232323,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:40:00,-0.840546117511705,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:45:00,-0.8475487524320429,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:50:00,-0.855951914336448,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 00:55:00,-0.8671561302089884,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:00:00,-0.8783603460815287,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:05:00,-0.8881640349700016,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:10:00,-0.8951666698903392,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:15:00,-0.9035698317947445,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:20:00,-0.9161745746513523,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:25:00,-0.9287793175079603,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:30:00,-0.9381161640684106,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:35:00,-0.9497872222689734,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:40:00,-0.9595909111574462,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:45:00,-0.9698614423739416,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:50:00,-0.981999342902527,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 01:55:00,-0.9922698741190223,-0.548561973201084,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:00:00,-1.0016067206794725,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:05:00,-1.0128109365520128,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:10:00,-1.0249488370805981,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:15:00,-1.033818841313026,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:20:00,-1.0445562148575438,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:25:00,-1.054826746074039,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:30:00,-1.0632299079784444,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:35:00,-1.0706993852268047,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:40:00,-1.0814367587713223,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:45:00,-1.0870388667075928,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:50:00,-1.0987099249081556,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 02:55:00,-1.1108478254367409,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:00:00,-1.1150494063889433,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:05:00,-1.1220520413092812,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:10:00,-1.1332562571818217,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:15:00,-1.1397920497741367,-0.4493926655610763,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:20:00,-1.147261527022497,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:25:00,-1.1556646889269022,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:30:00,-1.1622004815192175,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:35:00,-1.1696699587675776,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:40:00,-1.1743383820478028,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:45:00,-1.1808741746401181,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:50:00,-1.1874099672324332,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 03:55:00,-1.193478917496726,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 04:00:00,-1.1976804984489284,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 04:05:00,-1.204216291041244,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 04:10:00,-1.2088847143214687,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
2014-01-01 04:15:00,-1.2144868222577392,-0.49897731938108014,-0.35132270052767217,-0.35047044330829413
